RAW_DATA | iomt-3546 | execution_time: 0.279178s | queueing_delay: 0.000863s
RAW_DATA | iomt-2824 | execution_time: 0.247124s | queueing_delay: 0.000747s
RAW_DATA | iomt-2127 | execution_time: 0.249004s | queueing_delay: 0.000836s
RAW_DATA | iomt-3546 | execution_time: 0.497283s | queueing_delay: 0.000690s
RAW_DATA | iomt-2824 | execution_time: 0.267644s | queueing_delay: 0.000618s
RAW_DATA | iomt-3647 | execution_time: 0.508380s | queueing_delay: 0.000867s
RAW_DATA | iomt-2127 | execution_time: 0.260717s | queueing_delay: 0.000840s
RAW_DATA | iomt-3546 | execution_time: 0.280867s | queueing_delay: 0.000701s
RAW_DATA | iomt-3647 | execution_time: 0.296826s | queueing_delay: 0.000795s
RAW_DATA | iomt-2824 | execution_time: 0.277294s | queueing_delay: 0.000726s
RAW_DATA | iomt-2127 | execution_time: 0.305973s | queueing_delay: 0.000987s
RAW_DATA | iomt-3647 | execution_time: 0.450018s | queueing_delay: 0.000771s
RAW_DATA | iomt-3546 | execution_time: 0.443087s | queueing_delay: 0.006594s
RAW_DATA | iomt-2824 | execution_time: 0.254943s | queueing_delay: 0.000794s
RAW_DATA | iomt-2127 | execution_time: 0.252591s | queueing_delay: 0.000866s
RAW_DATA | iomt-3647 | execution_time: 0.577567s | queueing_delay: 0.000736s
RAW_DATA | iomt-2824 | execution_time: 0.533228s | queueing_delay: 0.000993s
RAW_DATA | iomt-3546 | execution_time: 0.250276s | queueing_delay: 0.000813s
RAW_DATA | iomt-2127 | execution_time: 0.336015s | queueing_delay: 0.000713s
RAW_DATA | iomt-3647 | execution_time: 0.249113s | queueing_delay: 0.000682s
RAW_DATA | iomt-2824 | execution_time: 0.328560s | queueing_delay: 0.000692s
RAW_DATA | iomt-3546 | execution_time: 0.280148s | queueing_delay: 0.000697s
RAW_DATA | iomt-2127 | execution_time: 0.380243s | queueing_delay: 0.000669s
RAW_DATA | iomt-2824 | execution_time: 0.437288s | queueing_delay: 0.000812s
RAW_DATA | iomt-3546 | execution_time: 0.423393s | queueing_delay: 0.001061s
RAW_DATA | iomt-3647 | execution_time: 0.485807s | queueing_delay: 0.006200s
RAW_DATA | iomt-2127 | execution_time: 0.283215s | queueing_delay: 0.000924s
RAW_DATA | iomt-2824 | execution_time: 0.395829s | queueing_delay: 0.000824s
RAW_DATA | iomt-3546 | execution_time: 0.491591s | queueing_delay: 0.000733s
RAW_DATA | iomt-3647 | execution_time: 0.487532s | queueing_delay: 0.001352s
RAW_DATA | iomt-2127 | execution_time: 0.242093s | queueing_delay: 0.000798s
RAW_DATA | iomt-3546 | execution_time: 0.274269s | queueing_delay: 0.000576s
RAW_DATA | iomt-2824 | execution_time: 0.589748s | queueing_delay: 0.000860s
RAW_DATA | iomt-3647 | execution_time: 0.611162s | queueing_delay: 0.000776s
RAW_DATA | iomt-2127 | execution_time: 0.310077s | queueing_delay: 0.000691s
RAW_DATA | iomt-3546 | execution_time: 0.244178s | queueing_delay: 0.000761s
RAW_DATA | iomt-2824 | execution_time: 0.363018s | queueing_delay: 0.000776s
RAW_DATA | iomt-3647 | execution_time: 0.244063s | queueing_delay: 0.000763s
RAW_DATA | iomt-2127 | execution_time: 0.247532s | queueing_delay: 0.000631s
RAW_DATA | iomt-3647 | execution_time: 0.288032s | queueing_delay: 0.000789s
RAW_DATA | iomt-3546 | execution_time: 0.294438s | queueing_delay: 0.000645s
RAW_DATA | iomt-2824 | execution_time: 0.244612s | queueing_delay: 0.000597s
RAW_DATA | iomt-2127 | execution_time: 0.216638s | queueing_delay: 0.000734s
RAW_DATA | iomt-3546 | execution_time: 0.386894s | queueing_delay: 0.000762s
RAW_DATA | iomt-3647 | execution_time: 0.399747s | queueing_delay: 0.000867s
RAW_DATA | iomt-2824 | execution_time: 0.250303s | queueing_delay: 0.000747s
RAW_DATA | iomt-2127 | execution_time: 0.246276s | queueing_delay: 0.000767s
RAW_DATA | iomt-2824 | execution_time: 0.318473s | queueing_delay: 0.000837s
RAW_DATA | iomt-3647 | execution_time: 0.405548s | queueing_delay: 0.017234s
RAW_DATA | iomt-3546 | execution_time: 0.252426s | queueing_delay: 0.001092s
